Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Mauritania,Africa,4660728.0,6444,,157.0,,5291.0,,996.0,3.0,1383.0,34.0,57387.0,12313.0,Africa,1382.62,33.69,11.23,0.3,82.11
Paraguay,South America,7141091.0,6375,,66.0,,4974.0,,1335.0,23.0,893.0,9.0,135277.0,18943.0,Americas,892.72,9.24,4.71,1.72,78.02
Albania,Europe,2877470.0,6016,,188.0,,3155.0,,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe,2090.73,65.34,15.43,0.86,52.44
Lebanon,Asia,6822220.0,5672,,70.0,,1974.0,,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean,831.4,10.26,1.64,1.27,34.8
Croatia,Europe,4102577.0,5404,,155.0,,4688.0,,561.0,7.0,1317.0,38.0,125317.0,30546.0,Europe,1317.22,37.78,4.31,1.25,86.75
Djibouti,Africa,989387.0,5330,,59.0,,5057.0,,214.0,,5387.0,60.0,59909.0,60552.0,EasternMediterranean,5387.17,59.63,8.9,,94.88
Greece,Europe,10417673.0,5123,,210.0,,1374.0,,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe,491.76,20.16,0.83,0.4,26.82
Libya,Africa,6880353.0,4879,,107.0,,652.0,,4120.0,,709.0,16.0,59699.0,8677.0,EasternMediterranean,709.12,15.55,8.17,,13.36
Equatorial Guinea,Africa,1407001.0,4821,,83.0,,2182.0,,2556.0,,3426.0,59.0,44356.0,31525.0,Africa,3426.44,58.99,10.87,,45.26
Maldives,Asia,541448.0,4680,,19.0,,2725.0,,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia,8643.49,35.09,5.47,0.62,58.23
CAR,Africa,4837752.0,4620,,59.0,,1641.0,,2920.0,2.0,955.0,12.0,29589.0,6116.0,,954.99,12.2,15.61,0.07,35.52
Hungary,Europe,9657785.0,4597,,600.0,,3463.0,,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe,475.99,62.13,1.3,1.5,75.33
Malawi,Africa,19174839.0,4491,,137.0,,2137.0,,2217.0,4.0,234.0,7.0,33466.0,1745.0,Africa,234.21,7.14,13.42,0.18,47.58
Zimbabwe,Africa,14883803.0,4339,,84.0,,1264.0,,2991.0,,292.0,6.0,140421.0,9434.0,Africa,291.52,5.64,3.09,,29.13
Nicaragua,North America,6632263.0,3902,,123.0,,2913.0,,866.0,,588.0,19.0,,,Americas,588.34,18.55,,,74.65
Hong Kong,Asia,7503041.0,3850,,46.0,,2458.0,,1346.0,39.0,513.0,6.0,692430.0,92287.0,WesternPacific,513.13,6.13,0.56,2.9,63.84
Congo,Africa,5530506.0,3546,,58.0,,1589.0,,1899.0,,641.0,10.0,,,Africa,641.17,10.49,,,44.81
Montenegro,Europe,628074.0,3480,,60.0,,2178.0,,1242.0,,5541.0,96.0,38427.0,61182.0,Europe,5540.75,95.53,9.06,,62.59
Thailand,Asia,69817894.0,3330,,58.0,,3148.0,,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia,47.7,0.83,0.44,0.81,94.53
Somalia,Africa,15933012.0,3227,,93.0,,1728.0,,1406.0,2.0,203.0,6.0,,,EasternMediterranean,202.54,5.84,,0.14,53.55
Mayotte,Africa,273419.0,3042,,39.0,,2738.0,,265.0,2.0,11126.0,143.0,13000.0,47546.0,,11125.78,142.64,23.4,0.75,90.01
Eswatini,Africa,1161348.0,2968,,55.0,,1476.0,,1437.0,5.0,2556.0,47.0,20784.0,17896.0,Africa,2555.65,47.36,14.28,0.35,49.73
Sri Lanka,Asia,21422362.0,2839,,11.0,,2541.0,,287.0,1.0,133.0,0.5,166737.0,7783.0,South-EastAsia,132.53,0.51,1.7,0.35,89.5
Cuba,North America,11325899.0,2775,,88.0,,2409.0,,278.0,4.0,245.0,8.0,285471.0,25205.0,Americas,245.01,7.77,0.97,1.44,86.81
Cabo Verde,Africa,556581.0,2734,,27.0,,2010.0,,697.0,,4912.0,49.0,61633.0,110735.0,Africa,4912.13,48.51,4.44,,73.52
Namibia,Africa,2545264.0,2652,,15.0,,563.0,,2074.0,24.0,1042.0,6.0,29233.0,11485.0,Africa,1041.94,5.89,9.07,1.16,21.23
Mali,Africa,20302901.0,2552,,124.0,,1954.0,,474.0,,126.0,6.0,25152.0,1239.0,Africa,125.7,6.11,10.15,,76.57
Slovakia,Europe,5459915.0,2480,,29.0,,1824.0,,627.0,2.0,454.0,5.0,272322.0,49877.0,Europe,454.22,5.31,0.91,0.32,73.55
South Sudan,Africa,11206572.0,2450,,47.0,,1175.0,,1228.0,,219.0,4.0,12044.0,1075.0,Africa,218.62,4.19,20.34,,47.96
Slovenia,Europe,2078968.0,2223,,125.0,,1909.0,,189.0,2.0,1069.0,60.0,135702.0,65274.0,Europe,1069.28,60.13,1.64,1.06,85.87
Lithuania,Europe,2718121.0,2171,,81.0,,1656.0,,434.0,6.0,799.0,30.0,540784.0,198955.0,Europe,798.71,29.8,0.4,1.38,76.28
Estonia,Europe,1326627.0,2124,,63.0,,1954.0,,107.0,,1601.0,47.0,122880.0,92626.0,Europe,1601.05,47.49,1.73,,92.0
Mozambique,Africa,31333962.0,2120,,15.0,,795.0,,1310.0,,68.0,0.5,65151.0,2079.0,Africa,67.66,0.48,3.25,,37.5
Rwanda,Africa,12981546.0,2111,,5.0,,1258.0,,848.0,,163.0,0.4,286251.0,22051.0,Africa,162.62,0.39,0.74,,59.59
Suriname,South America,587154.0,2096,,29.0,,1446.0,,621.0,9.0,3570.0,49.0,2785.0,4743.0,Americas,3569.76,49.39,75.26,1.45,68.99
Guinea-Bissau,Africa,1972277.0,2032,,27.0,,944.0,,1061.0,5.0,1030.0,14.0,1500.0,761.0,Africa,1030.28,13.69,135.47,0.47,46.46
Benin,Africa,12151976.0,1936,,38.0,,1600.0,,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa,159.32,3.13,2.07,0.34,82.64
Iceland,Europe,341465.0,1930,,10.0,,1825.0,,95.0,,5652.0,29.0,149693.0,438385.0,Europe,5652.12,29.29,1.29,,94.56
Sierra Leone,Africa,7992169.0,1877,,67.0,,1427.0,,383.0,,235.0,8.0,,,Africa,234.85,8.38,,,76.03
Yemen,Asia,29886897.0,1768,,508.0,,898.0,,362.0,,59.0,17.0,120.0,4.0,EasternMediterranean,59.16,17.0,1473.33,,50.79
Tunisia,Africa,11830801.0,1642,,51.0,,1241.0,,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean,138.79,4.31,1.64,2.57,75.58
New Zealand,Australia/Oceania,5002100.0,1569,,22.0,,1524.0,,23.0,,314.0,4.0,486943.0,97348.0,WesternPacific,313.67,4.4,0.32,,97.13
Angola,Africa,32956300.0,1483,,64.0,,520.0,,899.0,20.0,45.0,2.0,64747.0,1965.0,Africa,45.0,1.94,2.29,2.22,35.06
Uruguay,South America,3474956.0,1318,,37.0,,1079.0,,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas,379.29,10.65,1.04,0.99,81.87
Latvia,Europe,1883936.0,1275,,32.0,,1070.0,,173.0,,677.0,17.0,207909.0,110359.0,Europe,676.77,16.99,0.61,,83.92
