Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Daily_Growth_Rate,New_Cases_Pct,New_Cases_7MA,New_Deaths_7MA,New_Cases_14MA
2020-05-09,4027781,280569,1337367,2409845,85846,4265,52518,6.97,33.2,20.98,186,2.1777629514438956,2.13,84748.14285714286,5051.857142857143,81602.21428571429
2020-05-10,4104027,284135,1370108,2449784,76255,3566,32741,6.92,33.38,20.74,186,1.8930026235289388,1.86,84550.85714285714,5068.0,81838.42857142857
2020-05-11,4180268,287608,1416204,2476456,76298,3473,46096,6.88,33.88,20.31,186,1.8577119497508177,1.83,84582.28571428571,4974.428571428572,82380.85714285714
2020-05-12,4263867,293155,1452191,2518521,83619,5547,35987,6.88,34.06,20.19,186,1.9998478566445987,1.96,85100.85714285714,4928.142857142857,82967.64285714286
2020-05-13,4348619,298383,1506905,2543331,84917,5228,54714,6.86,34.65,19.8,187,1.987679259226427,1.95,84371.57142857143,4722.285714285715,83350.42857142857
2020-05-14,4445724,303651,1545712,2596361,97106,5268,38807,6.83,34.77,19.64,187,2.2330077663736514,2.18,85291.14285714286,4702.142857142857,84309.35714285714
2020-05-15,4542073,308866,1592880,2640327,96349,5215,47168,6.8,35.07,19.39,187,2.1672285548990367,2.12,85770.0,4651.714285714285,84973.85714285714
2020-05-16,4637485,313037,1648546,2675902,95412,4171,55666,6.75,35.55,18.99,187,2.10062674025715,2.06,87136.57142857143,4638.285714285715,85942.35714285714
2020-05-17,4715994,316366,1688699,2710929,78509,3329,40153,6.71,35.81,18.73,187,1.6929219178067445,1.66,87458.57142857143,4604.428571428572,86004.71428571429
2020-05-18,4804278,319657,1740909,2743712,88284,3291,52210,6.65,36.24,18.36,187,1.8720125598124193,1.84,89170.85714285714,4578.428571428572,86876.57142857143
2020-05-19,4900702,324441,1792256,2784005,96633,4784,51347,6.62,36.57,18.1,187,2.0070445548737936,1.97,91030.0,4469.428571428572,88065.42857142857
2020-05-20,5003730,329326,1850441,2823963,103028,4885,58185,6.58,36.98,17.8,187,2.102311056660855,2.06,93617.28571428571,4420.428571428572,88994.42857142857
